OBJECTID,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,LOCATION,PLATE_STATE,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM,VIOLATION_PROC_DESC,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_DESC
19015705,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1230 SOUTHERN AVE SE, ,,Other,,250,0,,,,,,401136.53,129736.52,38.835,-76.987,290174,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015706,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1224 SOUTHERN AVE SE, ,,Other,,250,0,,,,,,401124.5,129692.97,38.835,-76.987,290172,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015707,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1220 SOUTHERN AVE SE, ,,Other,,250,250,,,,,,401163.53,129652.73,38.835,-76.987,285942,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015708,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1214 SOUTHERN AVE SE, ,,Other,,250,0,,,,,,401208.08,129603.57,38.834,-76.986,290169,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015709,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1212 SOUTHERN AVE SE, ,,Other,,250,0,,,,,,401227.37,129583.15,38.834,-76.986,290168,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015710,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2302 HARTFORD ST SE, ,,Other,,250,0,,,,,,402363.61,131863.25,38.855,-76.973,286790,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015711,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2308 HARTFORD ST SE, ,11,Liable,2020/07/01 04:00:00+00,250,0,,,,,,402432.54,131922.65,38.855,-76.972,286815,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,LIABLE
19015712,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2308 HARTFORD ST SE, ,,Other,,250,0,,,,,,402432.54,131922.65,38.855,-76.972,286815,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015713,2020/06/11 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 1262 TALBERT ST SE, ,,Other,,250,0,,,,,,400831.91,132666,38.862,-76.99,285996,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015714,2020/06/12 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2327 GOOD HOPE RD SE, ,,Other,,250,0,,,,,,402402.37,132784.23,38.863,-76.972,815490,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015715,2020/06/12 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2327 GOOD HOPE RD SE, ,,Other,,250,0,,,,,,402402.37,132784.23,38.863,-76.972,815490,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015716,2020/06/12 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2327 GOOD HOPE RD SE, ,24,Dismissed,2020/06/22 04:00:00+00,250,0,,,,,,402402.37,132784.23,38.863,-76.972,815490,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,950448322,DISMISSED ON MERIT
19015717,2020/06/12 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,Parking Lot 2327 GOOD HOPE RD SE, ,24,Dismissed,2020/06/22 04:00:00+00,250,0,,,,,,402402.37,132784.23,38.863,-76.972,815490,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,950448322,DISMISSED ON MERIT
